"tempo";"va";"va.Lt";"va.Rt";"va.St";"va.efeito.covid";"va.Lt.covid"
201504;163,29;163,495689612172;-0,0213570093174368;-0,205684433864036;0;163,495689612172
201601;160,19;162,666736816119;0,0123117575435732;-2,47672921997087;0;162,666736816119
201602;162,02;162,033428982233;0,053653186229236;-0,0134569333246952;0;162,033428982233
201603;163,57;160,845448483873;0,109750417686217;2,72457292194328;0;160,845448483873
201604;159,81;160,170011361829;0,175178962104342;-0,359849520828283;0;160,170011361829
201701;160,7;163,011013525577;0,208926373903887;-2,31112977702007;0;163,011013525577
201702;163,38;163,406879644395;0,240452159424869;-0,0269036063973838;0;163,406879644395
201703;166,02;163,323318658847;0,27582857668389;2,69671448681424;0;163,323318658847
201704;163,59;163,981914406986;0,306656118570478;-0,391871946278638;0;163,981914406986
201801;163,33;165,576747065185;0,322174733817967;-2,24680401255663;0;165,576747065185
201802;165,9;165,972783121791;0,336815567541787;-0,0727660450033973;0;165,972783121791
201803;169,46;166,747596270099;0,346251157545689;2,71237236602857;0;166,747596270099
201804;166,47;166,863058615635;0,358429484200981;-0,393031585297695;0;166,863058615635
201901;165,34;167,567079720223;0,366500736545328;-2,22708180461709;0;167,567079720223
201902;168,13;168,234725571194;0,370993125036264;-0,104732491938679;0;168,234725571194
201903;171,47;168,759289564824;0,373660449110382;2,71071546843216;0;168,759289564824
201904;169,02;169,393847338928;0,373227221440136;-0,373860690440653;0;169,393847338928
202001;164,88;169,743271383655;0,373076875098893;-2,20783495300388;-2,65546312112593;167,08780826253
202002;150,77;169,523408288478;0,379973138119496;-0,14347187641538;-18,609889907109;150,913518381369
202003;165,14;170,302088165922;0,382131097007206;2,7196595558372;-7,88175922247029;162,420328943451
202004;166,72;170,837691001322;0,382465169562099;-0,365450866596572;-3,75224571662152;167,0854452847
202101;166,22;171,254602541937;0,382389875115613;-2,20921834064846;-2,82538611383176;168,429216428105
202102;168,49;171,630656731875;0,382389875115613;-0,144793998831956;-2,99586243592025;168,634794295955
